"","from_id","from_name","message","created_time","type","link","id","story","likes_count","comments_count","shares_count","activity_count"
"1","133008863434659","파이낸셜뉴스","""명백한 역사적 기록이 남아 있음에도 불구하고...
 '조선인들이 묻혀있는지는 명확하지 않다'라고 주장하는 것은 '억지주장'이자 '역사왜곡'을 하는 전형적인 행동에 불과하다""

#나가사키 #무한도전 #공양탑 #파이낸셜뉴스 #fn파스","2016-01-04T00:54:15+0000","link","http://www.fnnews.com/news/201601040747251822","133008863434659_939313149470889",NA,1458,92,10,1560
"2","133008863434659","파이낸셜뉴스","<파이낸셜뉴스 페이스북 특급 이벤트 두번째-완료>
++++++++++++++++++++++++++++++++++++
파이낸셜뉴스 두번째 이벤트가 마감되었습니다. 
파이낸셜뉴스 페이스북 특급 이벤트2. 당첨자는 ""권혜정""님입니다.
참여해 주신 분들 정말 감사드리고 앞으로도 파이낸셜뉴스 많이 사랑해주세요
++++++++++++++++++++++++++++++++++++

""이번엔 커피쿠폰 25장 몰아주기다""
쿠폰 두세장 감질나셨죠?
이번엔 모아모아 한분께만 몽땅 쏴드립니다.

▷ 이벤트 방법 : 
1. 파이낸셜뉴스 페이스북 페이지 ""좋아요""를 눌러 구독해주시고
2. 이 게시물(이벤트 게시물)을 '전체공개'로 공유해주세요.
3. 본 이벤트 게시물에 댓글로 참여했음을 알려주세요.

▷ 이벤트 상품 : 투썸플레이스 커피 시식권 '25장'

▷ 이벤트 응모기한 : 2014년 12월 2일부터~ 12월 5일(금) 9시까지

▷ 당첨자 선정방법: 응모자 중 추첨을 통하여 1명 선정

▷ 당첨자 발표일 : 5일 오전 11시에 파이낸셜뉴스 페이스북에 공지

▷ 쿠폰은 우편발송으로 이에 따른 당첨자 개인정보는 상품 발송 후 완전 폐기됩니다.

#이벤트 #페이스북친구 #경품 #상품 #공유이벤트 #초대이벤트
#투썸플레이스 #커피쿠폰 #커피시식권","2014-12-02T02:01:39+0000","photo","https://www.facebook.com/fnnewscom/photos/a.342794499122760.74947.133008863434659/747354072000132/?type=3","133008863434659_747354072000132",NA,117,108,109,334
"3","133008863434659","파이낸셜뉴스","""이렇게 해놓아야 (아침을 시작하는) 주민들이 편하잖아요.. 시민분들이 '고맙다'고 말할 때, '수고했다'고 말할 때 그게 저희는 좋은 거고 보람이죠.""

#환경미화원 #파이낸셜뉴스","2016-01-04T09:24:52+0000","link","http://www.fnnews.com/news/201601041753550899","133008863434659_939467896122081",NA,275,1,3,279
"4","133008863434659","파이낸셜뉴스",""" 하고 싶은 일을 하니까 이 정도는 참을 수 있습니다""

주경야독 운전기사, 패션 피플, 미래의 아이돌 등 일명 '올빼미 버스' 심야버스를 타는 사람들. 그들의 이야기를 들어보시겠습니까?

#심야버스 #파이낸셜뉴스","2016-01-05T09:10:56+0000","link","http://www.fnnews.com/news/201601051758006658","133008863434659_939922902743247",NA,167,1,2,170
"5","133008863434659","파이낸셜뉴스","<파이낸셜뉴스 페이스북 특급 이벤트 3차 당첨 결과>

파이낸셜뉴스의 이벤트에 응모해 주셔서 감사합니다. 
당첨자 명단은 다음과 같습니다. 

▷당첨자 명단
2월 13일 : AR Lee, 소연이
2월 14일 : 이선영, 김효은
2월 15일 : 모윤아, 박연희

당첨되신 분들은 파이낸셜뉴스 페이스북 '쪽지'로 이름/전화번호를 남겨주세요. 

※쿠폰은 SMS발송으로 이에 따른 당첨자 개인정보는 상품 발송 후 완전 폐기됩니다.

-------------------------------------------------------------------------------------------------

<파이낸셜뉴스 페이스북 특급 이벤트 - 3차>

많이 기다리셨죠?
파이낸셜뉴스 3차 이벤트 시작합니다!!
따뜻한 커피 한 잔으로 설 때 고생하시는 어머님께 효도하자구요~

▷ 이벤트 방법 : 
1. 파이낸셜뉴스 페이스북 페이지 상단의 ""좋아요""를 눌러주세요.
  (이 게시물에 대한 ""좋아요""가 아니라  페이지 상단의 ""좋아요""입니다)
2. 이 게시물을 '전체공개'로 공유해주세요.
3. 본 이벤트 게시물에 댓글로 참여했음을 알려주세요.

▷ 이벤트 상품 : 파스쿠찌 아메리카노 쿠폰 5장씩

▷ 이벤트 응모기한 : 2015년 2월 13일(금) ~ 2월 15일(일)

▷ 당첨자 선정방법: 응모자 중 추첨을 통하여 1일 2명 총 6명 선정

▷ 당첨자 발표일 : 16일(월) 오후3시에 파이낸셜뉴스 페이스북에 공지

▷ 상품권은 SMS발송으로 이에 따른 당첨자 개인정보는 상품 발송 후 완전 폐기됩니다.

#이벤트 #페이스북친구 #경품 #상품 #공유이벤트 #초대이벤트 #파스쿠찌","2015-02-12T23:31:46+0000","photo","https://www.facebook.com/fnnewscom/photos/a.342794499122760.74947.133008863434659/785482974853908/?type=3","133008863434659_785482974853908",NA,49,48,45,142
"6","133008863434659","파이낸셜뉴스","진실을 밝혀야 합니다. 
더 이상 피해자를 만들지도 말아야 함은 물론입니다.

http://goo.gl/yJzM8d

#스폰 #연예인스폰 #연예인지망생 #스폰제의 #fn파스 #파이낸셜뉴스","2016-02-14T03:32:33+0000","link","https://goo.gl/yJzM8d","133008863434659_959695760765961",NA,128,1,3,132
"7","133008863434659","파이낸셜뉴스","[카드뉴스] 중동 '석유 왕자'의 전성시대가 끝나간다

http://goo.gl/XSUC6f
#저유가 #석유 #fn파스 #파이낸셜뉴스","2016-03-09T05:46:58+0000","photo","https://www.facebook.com/fnnewscom/photos/a.342794499122760.74947.133008863434659/973690842699786/?type=3","133008863434659_973692496032954","파이낸셜뉴스 added 27 new photos.",42,1,31,74
"8","133008863434659","파이낸셜뉴스","""4시에 문 닫으면 퇴근하냐고요? 5일 중 4일은 10시 넘는다""

모자란 돈 채우는 속사정 들어보니..
#은행원 #월급 #퇴근 #4시 #대출서류 #fn파스 #파이낸셜뉴스","2016-01-11T09:13:40+0000","link","http://www.fnnews.com/news/201601111721063174","133008863434659_942803222455215",NA,24,1,20,45
"9","133008863434659","파이낸셜뉴스","""한국 야구의 미래이자, 고교 야구 최전선을 달리는 그들!""

제 3회 전국 명문고 야구열전이 3월 10일부터 13일까지 나흘간 부산 구덕야구장에서 열립니다.

#명문고야구열전 #야구 #고교야구 #부산 #구덕야구장 #진검승부","2016-03-08T08:42:58+0000","video","https://www.facebook.com/fnnewscom/videos/973147059420831/","133008863434659_973147059420831",NA,28,7,9,44
"10","133008863434659","파이낸셜뉴스","다이어트에 더 없이 좋은 식품들..

이젠 굶지 말고 먹자!
#다이어트 #지방 #음식 #식품 #fn파스 #파이낸셜뉴스","2016-01-11T06:24:47+0000","link","http://www.fnnews.com/news/201601111429463077","133008863434659_942758542459683",NA,33,1,10,44
