"","year","week","narticle","fbshares","fblikes","fbcomments","fbpostings","fbtotals","date","word_rank","rank.art","rank_portion","fbnorm","fblag1","nart_lag1","nwtp_postings","nwtp_totals"
"1","2016","1","9355","6929","45953","2111","233","54993","20160923","0.0666666666666667","9","0.18","236.021459227468","0","0","217","224577"
"2","2016","2","827","29809","25979","1208","10","56996","20160930","0","4","0.08","5699.6","54993","9355","214","210925"
"3","2016","3","915","840","2577","163","10","3580","20161007","0","10","0.2","358","56996","827","216","222272"
"4","2016","4","1338","8625","21024","788","18","30437","20161014","0","9","0.18","1690.94444444444","3580","915","215","221202"
"5","2016","5","6511","19572","100582","9065","42","129219","20161021","0.1","13","0.26","3076.64285714286","30437","1338","216","219552"
"6","2016","6","8738","25186","134321","18421","113","177928","20161028","0.6","30","0.6","1574.58407079646","129219","6511","209","160816"
"7","2016","7","7989","11162","62474","7687","78","81323","20161104","0.466666666666667","30","0.6","1042.60256410256","177928","8738","199","199581"
"8","2016","8","9281","30803","229951","29657","203","290411","20161111","0.3","27","0.54","1430.5960591133","81323","7989","149","198751"
"9","2016","9","10173","20815","128066","24904","123","173785","20161118","0.266666666666667","28","0.56","1412.88617886179","290411","9281","179","217135"
"10","2016","10","10636","18627","129499","37886","118","186012","20161125","0.166666666666667","28","0.56","1576.37288135593","173785","10173","200","210005"
"11","2016","11","10601","41548","237919","109653","158","389120","20161202","0.266666666666667","28","0.56","2462.78481012658","186012","10636","203","210900"
"12","2016","12","12002","22360","181153","80699","161","284212","20161209","0.566666666666667","27","0.54","1765.29192546584","389120","10601","196","210978"
"13","2016","13","7833","7462","55794","38950","112","102206","20161216","0.133333333333333","30","0.6","912.553571428571","284212","12002","207","207279"
"14","2016","14","5478","6855","40155","4698","84","51708","20161223","0.366666666666667","28","0.56","615.571428571429","102206","7833","214","219677"
"15","2016","15","5828","4392","39791","3818","52","48001","20161230","0.166666666666667","28","0.56","923.096153846154","51708","5478","210","217708"
"16","2016","16","0","0","0","0","0","0","20170106","0.233333333333333","28","0.56","NaN","48001","5828",NA,NA
