기간,정윤회,문건유출,국정농단,total
2014-11-28,98,2,37,137
2014-11-29,52,8,22,82
2014-11-30,55,28,34,117
2014-12-01,219,151,90,460
2014-12-02,182,122,44,348
2014-12-03,180,113,46,339
2014-12-04,170,90,30,290
2014-12-05,233,108,33,374
2014-12-06,69,31,18,118
2014-12-07,114,51,33,198
2014-12-08,190,92,56,338
2014-12-09,136,64,34,234
2014-12-10,125,79,45,249
2014-12-11,99,61,24,184
2014-12-12,121,91,28,240
2014-12-13,43,49,17,109
2014-12-14,81,72,16,169
2014-12-15,184,179,41,404
2014-12-16,119,103,29,251
2014-12-17,103,73,43,219
2014-12-18,80,56,22,158
2014-12-19,70,41,22,133
2014-12-20,29,19,8,56
2014-12-21,20,12,6,38
2014-12-22,15,15,8,38
2014-12-23,30,30,9,69
2014-12-24,30,32,3,65
2014-12-25,21,11,2,34
2014-12-26,46,37,5,88
2014-12-27,28,25,3,56
2014-12-28,21,16,4,41
2014-12-29,22,17,7,46
2014-12-30,28,22,8,58
2014-12-31,37,33,6,76
2015-01-01,22,11,3,36
2015-01-02,17,21,3,41
2015-01-03,8,11,3,22
2015-01-04,17,18,8,43
2015-01-05,85,78,28,191
2015-01-06,102,82,32,216
2015-01-07,30,30,5,65
2015-01-08,19,24,9,52
2015-01-09,69,98,11,178
2015-01-10,17,33,2,52
2015-01-11,15,14,4,33
2015-01-12,71,96,19,186
2015-01-13,43,37,15,95
2015-01-14,35,79,20,134
2015-01-15,20,48,5,73
2015-01-16,22,27,10,59
2015-01-17,4,4,0,8
2015-01-18,4,8,0,12
2015-01-19,20,13,2,35
2015-01-20,14,12,0,26
2015-01-21,6,4,0,10
2015-01-22,12,10,5,27
2015-01-23,20,36,6,62
2015-01-24,5,8,6,19
2015-01-25,3,11,3,17
2015-01-26,6,12,12,30
2015-01-27,8,5,6,19
2015-01-28,9,4,0,13
2015-01-29,5,3,2,10
2015-01-30,4,1,0,5
2015-01-31,4,2,0,6
2015-02-01,1,2,0,3
2015-02-02,5,8,2,15
2015-02-03,3,4,2,9
2015-02-04,3,2,6,11
2015-02-05,3,2,1,6
2015-02-06,6,8,1,15
2015-02-07,2,1,0,3
2015-02-08,0,0,0,0
2015-02-09,0,5,0,5
2015-02-10,1,4,9,14
2015-02-11,1,2,4,7
2015-02-12,0,2,0,2
2015-02-13,4,1,0,5
2015-02-14,1,0,0,1
2015-02-15,1,2,0,3
2015-02-16,2,5,0,7
2015-02-17,5,2,1,8
2015-02-18,2,0,1,3
2015-02-19,0,0,0,0
2015-02-20,0,0,0,0
2015-02-21,0,0,0,0
2015-02-22,10,3,1,14
2015-02-23,16,10,3,29
2015-02-24,5,2,4,11
2015-02-25,1,4,1,6
2015-02-26,1,0,2,3
2015-02-27,10,5,6,21
2015-02-28,4,0,2,6
2015-03-01,4,0,1,5
2015-03-02,4,1,1,6
2015-03-03,0,1,1,2
2015-03-04,1,0,0,1
2015-03-05,1,1,0,2
2015-03-06,1,4,3,8
2015-03-07,0,0,1,1
2015-03-08,3,0,0,3
2015-03-09,5,1,0,6
2015-03-10,1,1,0,2
2015-03-11,0,0,1,1
2015-03-12,6,2,0,8
2015-03-13,8,9,0,17
2015-03-14,2,3,0,5
2015-03-15,1,2,0,3
2015-03-16,4,3,0,7
2015-03-17,3,0,0,3
2015-03-18,0,1,0,1
2015-03-19,1,0,0,1
2015-03-20,0,0,0,0
2015-03-21,0,0,0,0
2015-03-22,0,0,0,0
2015-03-23,1,3,0,4
2015-03-24,2,4,0,6
2015-03-25,1,0,0,1
2015-03-26,4,0,0,4
2015-03-27,3,3,0,6
2015-03-28,1,1,1,3
2015-03-29,2,0,0,2
2015-03-30,7,0,0,7
