기간,박근혜,최순실,탄핵,total
2016-09-20,139,26,10,175
2016-09-21,154,50,1,205
2016-09-22,155,64,2,221
2016-09-23,149,36,1,186
2016-09-24,102,12,0,114
2016-09-25,129,14,7,150
2016-09-26,130,21,8,159
2016-09-27,98,21,6,125
2016-09-28,92,18,5,115
2016-09-29,73,19,1,93
2016-09-30,108,7,3,118
2016-10-01,51,2,0,53
2016-10-02,65,6,2,73
2016-10-03,76,10,1,87
2016-10-04,160,12,1,173
2016-10-05,145,17,2,164
2016-10-06,131,28,0,159
2016-10-07,92,34,1,127
2016-10-08,23,13,0,36
2016-10-09,54,12,0,66
2016-10-10,99,36,5,140
2016-10-11,130,30,0,160
2016-10-12,120,37,3,160
2016-10-13,130,75,21,226
2016-10-14,121,37,21,179
2016-10-15,37,18,2,57
2016-10-16,86,33,0,119
2016-10-17,133,84,2,219
2016-10-18,140,75,1,216
2016-10-19,145,80,1,226
2016-10-20,189,132,1,322
2016-10-21,193,141,5,339
2016-10-22,40,29,1,70
2016-10-23,85,64,1,150
2016-10-24,659,296,3,958
2016-10-25,822,814,62,1698
2016-10-26,678,811,164,1653
2016-10-27,682,815,146,1643
2016-10-28,546,687,77,1310
2016-10-29,276,380,25,681
2016-10-30,403,544,54,1001
2016-10-31,547,672,89,1308
2016-11-01,548,663,74,1285
2016-11-02,800,707,160,1667
2016-11-03,766,621,99,1486
2016-11-04,971,849,100,1920
2016-11-05,306,248,35,589
2016-11-06,333,359,50,742
2016-11-07,661,628,108,1397
2016-11-08,723,490,69,1282
2016-11-09,536,424,74,1034
2016-11-10,530,427,68,1025
2016-11-11,487,451,63,1001
2016-11-12,437,246,54,737
2016-11-13,523,370,144,1037
2016-11-14,886,616,275,1777
2016-11-15,856,627,225,1708
2016-11-16,730,566,195,1491
2016-11-17,737,647,146,1530
2016-11-18,629,465,129,1223
2016-11-19,437,271,82,790
2016-11-20,673,584,283,1540
2016-11-21,828,605,433,1866
2016-11-22,758,560,356,1674
2016-11-23,778,542,378,1698
2016-11-24,620,368,394,1382
2016-11-25,597,323,410,1330
2016-11-26,459,184,173,816
2016-11-27,378,245,214,837
2016-11-28,720,416,404,1540
2016-11-29,1188,533,741,2462
2016-11-30,881,454,516,1851
2016-12-01,861,322,617,1800
2016-12-02,710,232,506,1448
2016-12-03,585,172,352,1109
2016-12-04,450,196,365,1011
2016-12-05,758,500,568,1826
2016-12-06,628,541,326,1495
2016-12-07,710,729,310,1749
2016-12-08,808,478,677,1963
2016-12-09,1739,448,1854,4041
2016-12-10,448,92,441,981
2016-12-11,472,248,417,1137
2016-12-12,736,371,691,1798
2016-12-13,501,306,403,1210
2016-12-14,614,550,284,1448
2016-12-15,536,563,288,1387
2016-12-16,542,435,383,1360
2016-12-17,283,141,257,681
2016-12-18,364,235,307,906
2016-12-19,596,453,411,1460
2016-12-20,381,276,243,900
2016-12-21,469,281,281,1031
2016-12-22,571,663,261,1495
2016-12-23,366,331,171,868
2016-12-24,237,176,152,565
2016-12-25,221,215,106,542
2016-12-26,384,471,140,995
2016-12-27,437,373,204,1014
2016-12-28,360,321,127,808
2016-12-29,320,214,152,686
2016-12-30,386,272,244,902
2016-12-31,160,96,85,341
2017-01-01,309,176,188,673
2017-01-02,402,246,245,893
2017-01-03,362,270,236,868
2017-01-04,365,240,164,769
2017-01-05,543,441,398,1382
2017-01-06,345,230,225,800
2017-01-07,148,95,87,330
2017-01-08,203,109,112,424
2017-01-09,375,336,152,863
2017-01-10,361,217,234,812
2017-01-11,299,187,132,618
2017-01-12,439,282,311,1032
2017-01-13,296,153,112,561
2017-01-14,190,104,110,404
2017-01-15,167,81,99,347
2017-01-16,460,342,317,1119
2017-01-17,323,216,149,688
2017-01-18,263,171,102,536
2017-01-19,362,222,227,811
2017-01-20,215,143,117,475
