"","week","20160923","20160930","20161007","20161014","20161021","20161028","20161104","20161111","20161118","20161125","20161202","20161209","20161216","20161223","20161230","20170106"
"1",1,"지진","정준영","한미약품","갤럭시노트7","최순실","최순실","최순실","미국대선","박근혜","박근혜","박근혜","이재용","이재명","반기문","반기문","정유라"
"2",2,"한진해운","한진해운","태풍","구르미그린달빛","구르미그린달빛","박근혜","박근혜","트럼프","계엄령","손연재","서문시장","고영태","도깨비","우병우","세월x","반기문"
"3",3,"구르미그린달빛","구르미그린달빛","구르미그린달빛","노트7","박보검","박보검","박보검","우병우","최순실","김연아","대국민담화","박근혜","반기문","도깨비","도깨비","문재인"
"4",4,"갤럭시노트7","손흥민","한진해운","삼성전자","갤럭시노트7","박근혜탄핵","김병준","최순실","문재인","최순실","이재명","탄핵","런닝맨","최순실","자로세월호","도깨비"
"5",5,"경주지진","지진","마린시티","한진해운","문재인","탄핵","달의연인","차은택","수능","설리","문재인","박근혜탄핵","박근혜","이완영","문재인","전원책"
"6",6,"박보검","김영란법","손흥민","박보검","한진해운","박근혜하야","최순실대역","박근혜","수험생할인","이재명","박근혜대국민담화","이재명","우병우","문재인","자로","이휘재"
"7",7,"대한항공","백남기","갤럭시노트7","트럼프","노트7","시국선언","대국민담화","미국대선결과","트럼프","문재인","반기문","청문회","황교안","경찰","경찰","이재명"
"8",8,"최순실","박보검","김제동","김제동","경찰","정유라","문재인","힐러리","추미애","박보검","국민의당","도깨비","문재인","박근혜편지","박보검","경찰"
"9",9,"경찰","달의연인보보경심려","박보검","경찰","아이폰7","손석희","박근혜하야","유시민","박근혜계엄령","경찰","경찰","장시호","경찰","이재명","최순실","박보검"
"10",10,"삼성전자","국정감사","젝스키스","방탄소년단","달의연인보보경심려","jtbc","트와이스","박보검","박보검","김무성","삼성전자","경찰","현대상선","유승민","김새롬","jtbc신년토론"
"11",11,"달의연인보보경심려","경찰","김영란법","달의연인보보경심려","삼성전자","jtbc뉴스룸","달의연인보보경심려","한일군사정보보호협정","트와이스","비아그라","탄핵","반기문","포스코","ai","자로세월x","삼성전자"
"12",12,"대우조선해양","한미약품","경찰","이은재","손학규","갤럭시노트7","한진해운","미국대선개표","박근혜길라임","일본지진","박지원","문재인","삼성전자","노승일","조윤선","박근혜"
"13",13,"북한","갤럭시노트7","달의연인보보경심려","북한","한미약품","트와이스","경찰","트와이스","길라임","이정현","박보검","현대상선","빅뱅","조여옥","ai","안철수"
"14",14,"질투의화신","이정현","이은재","아이폰7","아이오아이","고영태","안종범","이래나","김종필","그것이알고싶다","국정교과서","김기춘","ai","삼성전자","트와이스","특검"
"15",15,"포스코","메디안치약","삼성전자","질투의화신","이화여대","한진해운","포스코","질투의화신","경찰","포스코","안철수","황교안","유승민","황교안","이재명","유승민"
"16",16,"반기문","대우조선해양","달의연인","tvn시상식","김유정","문재인","안철수","경찰","이정희","트와이스","최순실","박보검","박보검","조여옥대위","유재석","최순실"
"17",17,"은행파업","삼성전자","백남기","김영란법","질투의화신","개헌","최순득","문재인","한진해운","ai","표창원","가결","lg전자","박근혜","삼성전자","윤전추"
"18",18,"일본지진","포스코","북한","대우조선해양","현대중공업","달의연인보보경심려","박근혜지지율","한진해운","삼성전자","현대상선","현대상선","포스코","현대중공업","이슬비대위","김유정","천호식품"
"19",19,"임창정","신동빈","문재인","문재인","대우조선해양","삼성전자","청계광장","포스코","엘시티","반기문","2016mama","최순실","신보라","대한항공기내난동","특검","포스코"
"20",20,"노트7","달의연인","태풍차바","현대차","송민순","김유정","장시호","정유라","포스코","삼성전자","트와이스","이정현","한진해운","박보검","박근혜","한진해운"
